,Type,Price,advance,Monthly installment,Remaining installments,Location,Baths,Area,Purpose,Beds,Creation date,Amenities
139,Residential Plot,PKR45 Lakh,PKR6.75 Lakh,PKR60 Thousand,36 Months,"Lahore - Jaranwala Road, Lahore, Punjab",-,5 Marla,For Sale,-,3 weeks ago,
140,Residential Plot,PKR85 Lakh,PKR12.75 Lakh,PKR1.13 Lakh,36 Months,"Lahore - Jaranwala Road, Lahore, Punjab",-,10 Marla,For Sale,-,3 weeks ago,
141,Residential Plot,PKR45 Lakh,PKR6.75 Lakh,PKR60 Thousand,36 Months,"Lahore - Jaranwala Road, Lahore, Punjab",-,5 Marla,For Sale,-,3 weeks ago,
142,Residential Plot,PKR85 Lakh,PKR12.75 Lakh,PKR1.13 Lakh,36 Months,"Lahore - Jaranwala Road, Lahore, Punjab",-,10 Marla,For Sale,-,3 weeks ago,
143,Residential Plot,PKR85 Lakh,PKR12.75 Lakh,PKR1.13 Lakh,36 Months,"Lahore - Jaranwala Road, Lahore, Punjab",-,10 Marla,For Sale,-,3 weeks ago,
144,Residential Plot,PKR1.6 Crore,,,,"Lahore - Jaranwala Road, Lahore, Punjab",-,1 Kanal,For Sale,-,3 weeks ago,
145,Residential Plot,PKR1.6 Crore,,,,"Lahore - Jaranwala Road, Lahore, Punjab",-,1 Kanal,For Sale,-,3 weeks ago,
146,Residential Plot,PKR1.6 Crore,,,,"Lahore - Jaranwala Road, Lahore, Punjab",-,1 Kanal,For Sale,-,3 weeks ago,
147,Residential Plot,PKR1.6 Crore,,,,"Lahore - Jaranwala Road, Lahore, Punjab",-,1 Kanal,For Sale,-,3 weeks ago,
148,Residential Plot,PKR85 Lakh,,,,"Lahore - Jaranwala Road, Lahore, Punjab",-,10 Marla,For Sale,-,3 weeks ago,
149,Residential Plot,PKR85 Lakh,,,,"Lahore - Jaranwala Road, Lahore, Punjab",-,10 Marla,For Sale,-,3 weeks ago,
150,Residential Plot,PKR85 Lakh,,,,"Lahore - Jaranwala Road, Lahore, Punjab",-,10 Marla,For Sale,-,3 weeks ago,
151,Residential Plot,PKR85 Lakh,,,,"Lahore - Jaranwala Road, Lahore, Punjab",-,10 Marla,For Sale,-,3 weeks ago,
152,Residential Plot,PKR45 Lakh,,,,"Lahore - Jaranwala Road, Lahore, Punjab",-,5 Marla,For Sale,-,3 weeks ago,
153,Residential Plot,PKR45 Lakh,,,,"Lahore - Jaranwala Road, Lahore, Punjab",-,5 Marla,For Sale,-,3 weeks ago,
154,Residential Plot,PKR45 Lakh,,,,"Lahore - Jaranwala Road, Lahore, Punjab",-,5 Marla,For Sale,-,3 weeks ago,
155,Residential Plot,PKR45 Lakh,,,,"Lahore - Jaranwala Road, Lahore, Punjab",-,5 Marla,For Sale,-,3 weeks ago,
156,Residential Plot,PKR1.6 Crore,,,,"Lahore - Jaranwala Road, Lahore, Punjab",-,1 Kanal,For Sale,-,3 weeks ago,
157,Residential Plot,PKR85 Lakh,,,,"Lahore - Jaranwala Road, Lahore, Punjab",-,10 Marla,For Sale,-,3 weeks ago,
158,Residential Plot,PKR45 Lakh,,,,"Lahore - Jaranwala Road, Lahore, Punjab",-,5 Marla,For Sale,-,3 weeks ago,
159,Plot File,PKR17.5 Lakh,PKR1.75 Lakh,PKR11 Thousand,60 Months,"Lahore - Jaranwala Road, Lahore, Punjab",-,3 Marla,For Sale,-,3 weeks ago,
